movie_id,title,original_language,release_date,popularity,vote_average,vote_count,budget,revenue,runtime,status,adult,belongs_to_collection,genres,production_countries,production_companies_n,spoken_languages_n,tagline_len,overview_len
1659087,180,en,2026-04-16,58.7303,5.615,65,0,0,94,Released,False,0,"[""Thriller"", ""Crime"", ""Drama""]","[""ZA""]",1,4,0,152
1367642,Reminders of Him,en,2026-03-11,64.1873,7.252,161,30000000,87516587,114,Released,False,0,"[""Romance"", ""Drama""]","[""US""]",3,1,34,365
301337,Downsizing,en,2017-12-22,58.1769,5.401,4085,68000000,55003890,135,Released,False,0,"[""Drama"", ""Science Fiction"", ""Comedy""]","[""US""]",3,5,34,187
680493,Return to Silent Hill,en,2026-01-21,56.8906,5.29,421,23000000,47372551,106,Released,False,1,"[""Mystery"", ""Drama"", ""Horror""]","[""FR"", ""JP"", ""US"", ""GB"", ""DE""]",8,4,37,272
1084187,Pretty Lethal,en,2026-03-13,56.4632,6.8,309,0,0,89,Released,False,0,"[""Music"", ""Thriller"", ""Action"", ""Horror""]","[""US"", ""HU"", ""GB""]",4,2,23,167
1511057,Roommates,en,2026-04-13,48.9564,6.506,78,0,0,108,Released,False,0,"[""Comedy""]","[""US""]",1,1,26,148
1234821,Jurassic World Rebirth,en,2025-07-01,48.052,6.271,3250,180000000,869146189,134,Released,False,1,"[""Science Fiction"", ""Adventure"", ""Action""]","[""US""]",2,2,18,482
299536,Avengers: Infinity War,en,2018-04-25,53.5182,8.234,31792,300000000,2052415039,149,Released,False,1,"[""Adventure"", ""Action"", ""Science Fiction""]","[""US""]",1,2,29,490
1272837,28 Years Later: The Bone Temple,en,2026-01-14,51.0426,7.127,1074,63000000,58522222,109,Released,False,1,"[""Horror"", ""Thriller"", ""Science Fiction""]","[""GB"", ""US""]",3,2,22,199
1316092,"""Wuthering Heights""",en,2026-02-11,52.1044,6.5,820,80000000,241701072,136,Released,False,0,"[""Romance"", ""Drama""]","[""US"", ""GB""]",5,1,12,125
342521,Keanu,en,2016-04-29,50.3792,6.053,1128,15000000,20749853,100,Released,False,0,"[""Action"", ""Comedy"", ""Crime""]","[""US""]",4,1,15,90
441168,From Straight A's to XXX,en,2017-02-11,51.1064,5.822,160,0,0,87,Released,False,0,"[""Drama"", ""TV Movie""]","[""CA"", ""NL"", ""US""]",4,1,24,718
1268127,Humint,ko,2026-02-11,49.0183,7.218,110,16000000,13207600,120,Released,False,0,"[""Thriller"", ""Action"", ""Drama""]","[""KR""]",1,4,45,147
1306368,The Rip,en,2026-01-13,48.5292,7.057,1542,100000000,0,113,Released,False,0,"[""Action"", ""Thriller"", ""Crime""]","[""US""]",1,2,49,146
1038392,The Conjuring: Last Rites,en,2025-09-03,43.9696,6.884,1766,55000000,499156445,136,Released,False,1,"[""Horror""]","[""US""]",4,1,27,130
1168190,The Wrecking Crew,en,2026-01-28,48.2342,6.9,919,78500000,89000000,125,Released,False,0,"[""Action"", ""Comedy"", ""Crime"", ""Mystery""]","[""US"", ""CA""]",6,6,50,191
1064028,Subservience,en,2024-08-15,48.2157,6.624,977,4400000,262793,105,Released,False,0,"[""Science Fiction"", ""Horror"", ""Thriller""]","[""US""]",3,1,18,213
1159831,The Bride!,en,2026-03-04,47.6424,6.244,371,80000000,23844025,127,Released,False,0,"[""Science Fiction"", ""Horror"", ""Fantasy""]","[""US""]",4,1,36,242
425274,Now You See Me: Now You Don't,en,2025-11-12,44.0026,6.51,1418,90000000,242431024,113,Released,False,1,"[""Crime"", ""Thriller""]","[""US""]",4,1,20,310
1010581,My Fault,es,2023-06-08,41.0385,7.746,4036,0,0,116,Released,False,1,"[""Drama"", ""Romance"", ""Thriller""]","[""ES""]",2,1,47,386
803796,KPop Demon Hunters,en,2025-06-20,45.6351,8.013,2674,100000000,24619953,96,Released,False,0,"[""Fantasy"", ""Music"", ""Comedy"", ""Animation""]","[""US""]",1,2,42,153
533535,Deadpool & Wolverine,en,2024-07-24,41.0978,7.557,8517,200000000,1338073645,128,Released,False,1,"[""Action"", ""Comedy"", ""Science Fiction""]","[""US""]",6,1,14,248
1266127,Ready or Not 2: Here I Come,en,2026-03-19,44.2954,7.0,282,14000000,40765808,108,Released,False,1,"[""Horror"", ""Comedy""]","[""US""]",4,3,18,400
257088,Point Break,en,2015-12-03,43.3293,5.952,2429,105000000,133782481,114,Released,False,0,"[""Action"", ""Adventure"", ""Crime"", ""Thriller""]","[""DE"", ""US""]",4,1,25,147
1539104,JUJUTSU KAISEN: Execution,ja,2025-11-07,42.2578,5.938,97,0,44457030,88,Released,False,1,"[""Animation"", ""Action"", ""Fantasy""]","[""JP""]",5,1,41,782
1088434,Hellfire,en,2026-02-05,41.7785,6.8,73,0,0,94,Released,False,0,"[""Action"", ""Thriller""]","[""US""]",10,1,35,151
458293,Michael Jackson: Searching for Neverland,en,2017-05-29,43.3817,6.5,111,2000000,0,102,Released,False,0,"[""Drama"", ""TV Movie""]","[""US""]",1,1,0,345
744275,After We Fell,en,2021-09-01,41.4689,7.005,2725,14000000,21753705,99,Released,False,1,"[""Drama"", ""Romance""]","[""FR"", ""US"", ""BG""]",5,3,0,371
911430,F1,en,2025-06-25,39.853,7.751,3784,250000000,631627111,156,Released,False,1,"[""Action"", ""Drama""]","[""US""]",5,4,11,163
875828,Peaky Blinders: The Immortal Man,en,2026-03-05,39.4368,7.226,840,0,0,112,Released,False,0,"[""Crime"", ""Drama""]","[""GB""]",3,1,25,151
1061474,Superman,en,2025-07-09,32.7045,7.339,4649,225000000,618723803,130,Released,False,1,"[""Science Fiction"", ""Adventure"", ""Action""]","[""US""]",4,2,8,136
1087040,Money Shot: The Pornhub Story,en,2023-03-15,38.3632,5.794,349,0,0,95,Released,False,0,"[""Documentary""]","[""US"", ""CA""]",1,1,0,147
299534,Avengers: Endgame,en,2019-04-24,38.2349,8.234,27564,356000000,2799439100,181,Released,False,1,"[""Adventure"", ""Science Fiction"", ""Action""]","[""US""]",1,3,18,327
214756,Ted 2,en,2015-06-25,37.7321,6.316,7940,68000000,215863606,115,Released,False,1,"[""Comedy"", ""Fantasy""]","[""US""]",5,1,25,150
1325734,The Drama,en,2026-03-26,37.6502,7.016,547,28000000,101813210,105,Released,False,0,"[""Romance"", ""Comedy"", ""Drama""]","[""US""]",4,1,32,107
1236153,Mercy,en,2026-01-20,33.8393,6.976,1173,60000000,54703407,99,Released,False,0,"[""Science Fiction"", ""Action"", ""Thriller"", ""Crime""]","[""US""]",3,3,54,199
950396,The Gorge,en,2025-02-13,33.6954,7.617,3613,70000000,0,128,Released,False,0,"[""Romance"", ""Science Fiction"", ""Thriller""]","[""US""]",3,2,52,201
1233413,Sinners,en,2025-04-16,36.2085,7.47,4389,90000000,369425281,138,Released,False,0,"[""Horror"", ""Action"", ""Thriller""]","[""US""]",3,3,21,175
1246049,Dracula,fr,2025-07-30,36.0408,7.088,1116,52000000,42404858,130,Released,False,0,"[""Horror"", ""Fantasy"", ""Romance""]","[""FR""]",6,3,121,292
858024,Hamnet,en,2025-11-26,36.5541,7.735,1270,30000000,107756183,125,Released,False,0,"[""Drama"", ""Romance"", ""History""]","[""GB"", ""US""]",4,1,21,109
1049471,Outcome,en,2026-04-06,34.7273,5.366,149,80000000,0,84,Released,False,0,"[""Comedy"", ""Drama""]","[""US""]",2,1,0,243
1011985,Kung Fu Panda 4,en,2024-03-02,33.7589,7.0,3460,80000000,548040835,94,Released,False,1,"[""Action"", ""Adventure"", ""Animation"", ""Comedy"", ""Family"", ""Fantasy""]","[""US""]",1,1,21,281
980477,Ne Zha 2,zh,2025-01-29,33.1529,8.123,653,80000000,2259822417,144,Released,False,1,"[""Action"", ""Adventure"", ""Animation"", ""Fantasy""]","[""CN""]",5,1,22,340
1119449,"Good Luck, Have Fun, Don't Die",en,2026-02-13,32.8731,6.92,383,20000000,9662012,134,Released,False,0,"[""Science Fiction"", ""Action"", ""Comedy""]","[""US"", ""DE""]",4,1,0,227
496243,Parasite,ko,2019-05-30,32.4436,8.494,20482,11363000,257591776,133,Released,False,0,"[""Comedy"", ""Thriller"", ""Drama""]","[""KR""]",1,3,27,164
872585,Oppenheimer,en,2023-07-19,28.3173,8.031,11643,100000000,952000000,181,Released,False,0,"[""Drama"", ""History""]","[""GB"", ""US""]",5,2,26,100
1387382,Hunting Season,en,2025-12-05,32.0695,6.888,192,0,0,93,Released,False,0,"[""Action"", ""Drama"", ""Thriller""]","[""US""]",7,1,39,212
1218925,Chainsaw Man - The Movie: Reze Arc,ja,2025-09-19,32.0012,8.3,812,4100000,174502910,99,Released,False,1,"[""Animation"", ""Action"", ""Romance"", ""Fantasy""]","[""JP""]",1,1,28,217
181808,Star Wars: The Last Jedi,en,2017-12-13,30.0074,6.754,16247,300000000,1332698830,152,Released,False,1,"[""Adventure"", ""Action"", ""Science Fiction""]","[""US""]",1,1,17,198
1223601,Sisu: Road to Revenge,fi,2025-10-21,29.3625,7.324,699,12200000,9811703,89,Released,False,1,"[""Action"", ""War"", ""Thriller""]","[""FI"", ""GB""]",3,2,43,342
361743,Top Gun: Maverick,en,2022-05-21,29.0064,8.152,10797,170000000,1488732821,131,Released,False,1,"[""Action"", ""Drama""]","[""US""]",3,1,36,291
999136,Do Not Enter,en,2026-03-19,30.9702,5.628,74,0,0,91,Released,False,0,"[""Horror""]","[""US""]",2,1,40,173
76600,Avatar: The Way of Water,en,2022-12-14,28.9337,7.6,14002,350000000,2353096253,192,Released,False,1,"[""Action"", ""Adventure"", ""Science Fiction""]","[""US""]",3,1,18,272
939243,Sonic the Hedgehog 3,en,2024-12-19,30.4714,7.611,3229,122000000,492162604,110,Released,False,1,"[""Action"", ""Science Fiction"", ""Comedy"", ""Family""]","[""US"", ""JP""]",6,4,25,296
346698,Barbie,en,2023-07-19,30.0865,6.926,10999,145000000,1447138421,114,Released,False,0,"[""Comedy"", ""Adventure"", ""Fantasy""]","[""GB"", ""US""]",5,1,32,229
866398,The Beekeeper,en,2024-01-08,29.9473,7.24,4137,35000000,162619535,106,Released,False,1,"[""Action"", ""Crime"", ""Thriller""]","[""GB"", ""US""]",3,1,40,167
402431,Wicked,en,2024-10-16,29.3161,6.908,2981,150000000,758827029,162,Released,False,1,"[""Drama"", ""Romance"", ""Fantasy""]","[""US""]",2,1,36,299
569094,Spider-Man: Across the Spider-Verse,en,2023-05-31,28.9949,8.332,8486,100000000,690897910,140,Released,False,1,"[""Animation"", ""Action"", ""Adventure"", ""Science Fiction""]","[""US""]",6,4,40,412
1054867,One Battle After Another,en,2025-09-23,28.9119,7.366,3549,175000000,209377100,162,Released,False,0,"[""Thriller"", ""Crime"", ""Comedy""]","[""US""]",3,3,50,309
1408208,Exit 8,ja,2025-08-28,28.849,6.641,319,1400000,40641246,95,Released,False,0,"[""Horror"", ""Mystery""]","[""JP""]",8,1,10,386
1167307,David,en,2025-12-14,25.6034,8.054,130,60900000,85865995,109,Released,False,0,"[""Animation"", ""Family"", ""Drama"", ""Music""]","[""US"", ""ZA""]",4,1,22,431
991494,The SpongeBob Movie: Search for SquarePants,en,2025-12-16,28.8329,6.8,269,64000000,163197450,88,Released,False,1,"[""Adventure"", ""Animation"", ""Comedy"", ""Family"", ""Fantasy""]","[""US""]",3,2,24,268
1228246,Five Nights at Freddy's 2,en,2025-12-03,28.7851,6.7,893,36000000,239502619,104,Released,False,1,"[""Horror"", ""Thriller""]","[""US""]",3,2,10,443
950387,A Minecraft Movie,en,2025-03-31,28.7728,6.3,2942,150000000,958287780,101,Released,False,1,"[""Family"", ""Fantasy"", ""Comedy"", ""Adventure""]","[""SE"", ""US""]",6,1,23,327
1078605,Weapons,en,2025-08-04,28.7309,7.25,3281,38000000,269972492,129,Released,False,1,"[""Horror"", ""Mystery""]","[""US""]",5,1,173,181
1184918,The Wild Robot,en,2024-09-12,28.6254,8.305,5951,78000000,331982078,102,Released,False,1,"[""Family"", ""Animation"", ""Science Fiction"", ""Adventure""]","[""US""]",1,1,26,196
524047,Greenland,en,2020-07-29,28.4769,7.126,5231,34000000,52300000,120,Released,False,1,"[""Thriller"", ""Adventure"", ""Action"", ""Science Fiction""]","[""GB"", ""US""]",5,3,40,412
798645,The Running Man,en,2025-11-11,28.311,6.755,1413,110000000,69486523,133,Released,False,0,"[""Action"", ""Thriller"", ""Science Fiction""]","[""US"", ""GB""]",4,1,14,429
912649,Venom: The Last Dance,en,2024-10-22,24.8037,6.7,4145,120000000,478937618,109,Released,False,1,"[""Science Fiction"", ""Action"", ""Adventure""]","[""US""]",5,1,24,205
166428,How to Train Your Dragon: The Hidden World,en,2019-01-03,27.4696,7.75,7055,129000000,539987993,104,Released,False,1,"[""Animation"", ""Family"", ""Adventure""]","[""US""]",1,1,36,289
1241982,Moana 2,en,2024-11-21,27.1539,6.996,3034,150000000,1059242164,100,Released,False,1,"[""Animation"", ""Adventure"", ""Family"", ""Comedy"", ""Fantasy""]","[""CA"", ""US""]",2,1,31,225
1174024,Maybe More,fr,2024-04-03,22.3533,5.784,104,0,0,77,Released,False,0,"[""Comedy"", ""Drama""]","[""FR""]",2,1,0,501
1156594,Our Fault,es,2025-10-15,26.8552,7.356,646,0,0,110,Released,False,1,"[""Romance"", ""Drama""]","[""ES"", ""US""]",2,1,0,385
575265,Mission: Impossible - The Final Reckoning,en,2025-05-17,26.8203,7.161,2729,400000000,598767057,170,Released,False,1,"[""Action"", ""Thriller"", ""Adventure""]","[""US""]",3,4,37,404
1022789,Inside Out 2,en,2024-06-11,26.2695,7.543,6611,200000000,1698863816,97,Released,False,1,"[""Animation"", ""Adventure"", ""Comedy"", ""Family""]","[""US""]",1,1,27,316
552524,Lilo & Stitch,en,2025-05-17,26.691,7.195,2121,100000000,1038027526,108,Released,False,1,"[""Family"", ""Science Fiction"", ""Comedy""]","[""US""]",2,1,25,121
617126,The Fantastic 4: First Steps,en,2025-07-23,26.4215,6.959,3235,200000000,521858728,115,Released,False,0,"[""Science Fiction"", ""Adventure"", ""Action""]","[""US""]",2,3,22,283
315635,Spider-Man: Homecoming,en,2017-07-05,26.2903,7.331,23064,175000000,880978185,133,Released,False,1,"[""Action"", ""Adventure"", ""Science Fiction""]","[""US""]",4,1,34,289
372058,Your Name.,ja,2016-08-26,25.7912,8.476,12450,7500000,405320132,106,Released,False,0,"[""Animation"", ""Romance"", ""Drama""]","[""JP""]",7,1,41,279
1062722,Frankenstein,en,2025-10-17,25.2679,7.6,3352,120000000,480678,150,Released,False,0,"[""Drama"", ""Fantasy"", ""Horror""]","[""US"", ""CA""]",3,3,23,197
1087192,How to Train Your Dragon,en,2025-06-06,25.0966,7.92,2738,150000000,636351148,125,Released,False,1,"[""Fantasy"", ""Family"", ""Action"", ""Adventure""]","[""US""]",2,1,19,312
519182,Despicable Me 4,en,2024-06-20,25.0224,6.983,3159,100000000,972021410,94,Released,False,1,"[""Action"", ""Animation"", ""Comedy"", ""Family"", ""Science Fiction""]","[""US""]",2,1,41,263
467905,How to Make a Killing,en,2026-02-19,24.9915,7.013,313,40000000,19501301,105,Released,False,0,"[""Comedy"", ""Thriller""]","[""GB"", ""FR"", ""ZA""]",4,2,57,175
654028,The Christmas Chronicles: Part Two,en,2020-11-18,24.9818,6.499,1162,0,0,112,Released,False,1,"[""Family"", ""Fantasy"", ""Adventure"", ""Comedy""]","[""US""]",1,1,35,239
269149,Zootopia,en,2016-02-11,24.8965,7.759,17978,150000000,1025521689,109,Released,False,1,"[""Animation"", ""Adventure"", ""Family"", ""Comedy""]","[""US""]",1,1,28,220
216015,Fifty Shades of Grey,en,2015-02-11,24.5581,5.9,12346,40000000,569651467,125,Released,False,1,"[""Drama"", ""Romance"", ""Thriller""]","[""US""]",4,1,26,465
1241470,Osiris,en,2025-07-25,22.1859,5.993,224,0,0,108,Released,False,0,"[""Science Fiction"", ""Action"", ""Horror""]","[""US""]",3,2,62,190
1582770,Dhurandhar: The Revenge,hi,2026-03-18,21.01,7.6,63,22500000,210000000,229,Released,False,1,"[""Action"", ""Crime"", ""Thriller""]","[""IN""]",2,2,36,216
438631,Dune,en,2021-09-15,24.2417,7.8,14752,165000000,410668500,155,Released,False,1,"[""Science Fiction"", ""Adventure""]","[""US""]",1,1,10,443
1317288,Marty Supreme,en,2025-12-19,24.0967,7.397,1620,65000000,274459312,150,Released,False,0,"[""Drama"", ""Thriller""]","[""US""]",2,2,10,102
567609,Ready or Not,en,2019-08-21,23.9649,7.054,5318,6000000,57615777,95,Released,False,1,"[""Horror"", ""Comedy""]","[""US""]",5,1,31,147
429617,Spider-Man: Far From Home,en,2019-06-28,23.7914,7.396,16867,160000000,1132723226,129,Released,False,1,"[""Action"", ""Adventure"", ""Science Fiction""]","[""US""]",3,5,21,250
324857,Spider-Man: Into the Spider-Verse,en,2018-12-06,23.6672,8.393,17106,90000000,394884133,117,Released,False,1,"[""Animation"", ""Action"", ""Adventure"", ""Science Fiction""]","[""US""]",6,3,29,458
1233506,The Shrinking Man,fr,2025-10-22,23.4118,6.028,88,24350000,0,99,Released,False,0,"[""Adventure"", ""Science Fiction""]","[""FR"", ""BE""]",6,1,0,673
1448560,Wildcat,en,2025-11-19,21.0684,6.188,152,50000,0,99,Released,False,0,"[""Action"", ""Thriller""]","[""GB""]",2,1,0,127
1357633,Solo Leveling -ReAwakening-,ja,2024-11-26,23.2652,7.13,266,0,6331827,116,Released,False,0,"[""Action"", ""Adventure"", ""Fantasy"", ""Animation""]","[""JP""]",2,1,0,423
1175942,The Bad Guys 2,en,2025-07-24,23.1869,7.6,756,80000000,239449449,104,Released,False,1,"[""Family"", ""Comedy"", ""Crime"", ""Adventure"", ""Animation""]","[""US""]",1,1,16,223
693134,Dune: Part Two,en,2024-02-27,23.1725,8.126,7828,190000000,714844358,167,Released,False,1,"[""Science Fiction"", ""Adventure""]","[""US""]",1,1,23,305
99861,Avengers: Age of Ultron,en,2015-04-22,22.992,7.27,24311,235000000,1405403694,141,Released,False,1,"[""Action"", ""Adventure"", ""Science Fiction""]","[""US""]",1,1,19,394
354912,Coco,en,2017-10-27,20.008,8.197,20852,175000000,814641172,105,Released,False,1,"[""Family"", ""Animation"", ""Music"", ""Adventure""]","[""US""]",1,2,30,446
541671,Ballerina,en,2025-06-04,22.8853,7.232,2515,90000000,137408107,125,Released,False,0,"[""Action"", ""Thriller"", ""Crime""]","[""US""]",3,4,25,146
1284120,The Ugly Stepsister,no,2025-03-07,22.7198,7.301,1112,4250000,5325096,109,Released,False,0,"[""Horror"", ""Comedy"", ""Drama""]","[""DK"", ""NO"", ""PL"", ""SE""]",7,3,26,183
1315303,Primate,en,2026-01-01,22.6654,6.446,583,21000000,41235665,89,Released,False,0,"[""Horror"", ""Thriller""]","[""US""]",3,1,27,280
933260,The Substance,en,2024-09-07,22.4005,7.134,5909,17500000,77316812,141,Released,False,0,"[""Horror"", ""Science Fiction"", ""Drama""]","[""FR"", ""GB"", ""US""]",3,1,53,146
1197306,A Working Man,en,2025-03-26,22.1984,6.68,1859,40000000,88200711,116,Released,False,0,"[""Action"", ""Crime"", ""Thriller""]","[""GB"", ""US""]",7,3,25,305
335984,Blade Runner 2049,en,2017-10-04,22.2986,7.592,15020,150000000,259239658,164,Released,False,1,"[""Science Fiction"", ""Drama""]","[""CA"", ""GB"", ""US""]",6,7,43,301
1196067,Worldbreaker,en,2025-10-30,22.0298,5.8,142,0,0,95,Released,False,0,"[""Science Fiction"", ""Action"", ""Horror""]","[""GB"", ""US""]",4,1,38,305
574475,Final Destination Bloodlines,en,2025-05-14,21.7751,7.048,2786,50000000,317854739,110,Released,False,1,"[""Horror"", ""Mystery""]","[""US""]",5,1,25,219
324786,Hacksaw Ridge,en,2016-10-07,21.7701,8.189,14758,40000000,175302354,139,Released,False,0,"[""Drama"", ""History"", ""War""]","[""AU"", ""GB"", ""US""]",13,2,68,215
150540,Inside Out,en,2015-06-17,21.7826,7.909,23362,175000000,857611174,95,Released,False,1,"[""Animation"", ""Family"", ""Adventure"", ""Drama"", ""Comedy""]","[""US""]",1,1,40,250
508947,Turning Red,en,2022-03-10,21.5753,7.317,5749,0,21813358,100,Released,False,0,"[""Animation"", ""Family"", ""Comedy"", ""Fantasy""]","[""US""]",1,5,22,154
986056,Thunderbolts*,en,2025-04-30,21.5387,7.285,3414,180000000,382436917,127,Released,False,0,"[""Action"", ""Science Fiction"", ""Adventure""]","[""US""]",2,3,32,183
309809,The Little Prince,en,2015-07-29,21.4626,7.614,2959,64000000,101281211,106,Released,False,0,"[""Adventure"", ""Animation"", ""Fantasy"", ""Family""]","[""FR"", ""IT"", ""CA""]",5,1,46,321
1197137,Black Phone 2,en,2025-10-15,18.2234,6.716,1037,30000000,132248152,114,Released,False,1,"[""Horror"", ""Thriller""]","[""US""]",4,3,20,423
337404,Cruella,en,2021-05-26,20.9792,8.0,9998,200000000,233503234,134,Released,False,0,"[""Comedy"", ""Crime"", ""Drama""]","[""US""]",3,2,18,633
1292695,They Will Kill You,en,2026-03-25,20.9522,6.5,153,20000000,18944180,94,Released,False,0,"[""Horror"", ""Action"", ""Comedy""]","[""US"", ""ZA""]",4,1,13,235
1035259,The Naked Gun,en,2025-07-30,17.552,6.36,1649,42000000,102147396,85,Released,False,0,"[""Action"", ""Comedy"", ""Crime""]","[""US""]",3,2,41,213
773543,Fib the Truth,ru,2021-09-09,20.681,5.8,89,0,0,89,Released,False,0,"[""Drama"", ""Thriller""]","[""RU""]",2,1,0,158
